Report date,date
2,2020-01-23
3,2020-01-24
3,2020-01-26
2,2020-01-29
2,2020-01-30
1,2020-01-31
1,2020-01-02
1,2020-02-02
3,2020-04-02
3,2020-05-02
3,2020-06-02
2,2020-07-02
10,2020-09-02
6,2020-10-02
7,2020-11-02
1,2020-12-02
3,2020-02-13
3,2020-02-14
1,2020-02-16
3,2020-02-17
2,2020-02-18
3,2020-02-19
4,2020-02-20
1,2020-02-22
5,2020-02-23
6,2020-02-24
4,2020-02-25
6,2020-02-26
2,2020-02-27
1,2020-02-28
1,2020-02-29
5,2020-01-03
1,2020-02-03
4,2020-04-03
3,2020-06-03
2,2020-07-03
5,2020-08-03
1,2020-09-03
5,2020-10-03
9,2020-11-03
2,2020-12-03
6,2020-03-13
4,2020-03-14
7,2020-03-15
9,2020-03-16
10,2020-03-17
25,2020-03-18
16,2020-03-19
48,2020-03-20
17,2020-03-21
44,2020-03-22
39,2020-03-23
30,2020-03-24
24,2020-03-25
43,2020-03-26
65,2020-03-27
64,2020-03-28
59,2020-03-29
41,2020-03-30
32,2020-03-31
51,2020-01-04
37,2020-02-04
43,2020-03-04
17,2020-04-04
28,2020-05-04
24,2020-06-04
21,2020-07-04
25,2020-08-04
13,2020-09-04
16,2020-10-04
11,2020-11-04
4,2020-12-04
5,2020-04-13
3,2020-04-14
4,2020-04-15
1,2020-04-16
4,2020-04-17
2,2020-04-18
2,2020-04-19
4,2020-04-21
4,2020-04-22
2,2020-04-23
2,2020-04-25
2,2020-01-05
1,2020-04-05
4,2020-07-05
3,2020-10-05
3,2020-05-13
1,2020-05-14
1,2020-05-15
3,2020-05-17
8,2020-05-21
2,2020-05-22
1,2020-05-27
13,2020-05-29
3,2020-05-30
2,2020-05-31
3,2020-01-06
6,2020-02-06
6,2020-04-06
3,2020-05-06
3,2020-06-06
1,2020-07-06
1,2020-08-06
1,2020-12-06
1,2020-06-13
3,2020-06-15
8,2020-06-17
4,2020-06-18
3,2020-06-19
1,2020-06-20
3,2020-06-21
30,2020-06-22
16,2020-06-23
2,2020-06-24
14,2020-06-25
3,2020-06-26
1,2020-06-27
2,2020-06-28
4,2020-06-29
2,2020-06-30
28,2020-01-07
9,2020-02-07
5,2020-03-07
11,2020-04-07
10,2020-05-07
17,2020-06-07
14,2020-07-07
24,2020-08-07
42,2020-09-07
38,2020-10-07
28,2020-11-07
38,2020-12-07
52,2020-07-13
48,2020-07-14
19,2020-07-15
67,2020-07-16
58,2020-07-17
64,2020-07-18
107,2020-07-19
61,2020-07-21
73,2020-07-20
113,2020-07-22
118,2020-07-23
123,2020-07-24
133,2020-07-25
128,2020-07-26
145,2020-07-27
106,2020-07-28
117,2020-07-29
125,2020-01-08
149,2020-07-30
121,2020-07-31
113,2020-02-08
80,2020-03-08
80,2020-04-08
85,2020-05-08
95,2020-06-08
89,2020-07-08
69,2020-08-08
72,2020-09-08
69,2020-10-08
33,2020-11-08
62,2020-12-08
69,2020-08-13
48,2020-08-14
46,2020-08-15
74,2020-08-16
44,2020-08-17
36,2020-08-18
26,2020-08-19
18,2020-08-20
27,2020-08-21
26,2020-08-22
25,2020-08-23
9,2020-08-24
19,2020-08-25
24,2020-08-26
21,2020-08-27
13,2020-08-28
18,2020-08-29
15,2020-08-30
9,2020-08-31
12,2020-01-09
8,2020-02-09
8,2020-03-09
12,2020-04-09
7,2020-05-09
21,2020-06-09
11,2020-07-09
6,2020-08-09
6,2020-09-09
12,2020-10-09
12,2020-11-09
13,2020-12-09
19,2020-09-13
14,2020-09-14
4,2020-09-15
9,2020-09-16
9,2020-09-17
3,2020-09-18
13,2020-09-19
23,2020-09-20
6,2020-09-21
8,2020-09-22
3,2020-09-23
7,2020-09-24
2,2020-09-25
1,2020-09-26
6,2020-09-27
10,2020-09-28
4,2020-09-29
8,2020-09-30
10,2020-01-10
7,2020-02-10
4,2020-03-10
5,2020-04-10
11,2020-05-10
8,2020-06-10
11,2020-07-10
18,2020-08-10
8,2020-09-10
6,2020-10-10
7,2020-11-10
11,2020-12-10
8,2020-10-13
12,2020-10-15
7,2020-10-16
17,2020-10-17
4,2020-10-18
15,2020-10-19
5,2020-10-20
8,2020-10-21
11,2020-10-22
4,2020-10-23
5,2020-10-24
6,2020-10-25
8,2020-10-26
5,2020-10-27
2,2020-10-28
3,2020-10-29
7,2020-10-30
3,2020-10-31
7,2020-01-11
6,2020-02-11
9,2020-03-11
3,2020-04-11
7,2020-05-11
6,2020-06-11
3,2020-07-11
10,2020-08-11
6,2020-09-11
9,2020-10-11
18,2020-11-11
23,2020-12-11
6,2020-11-13
8,2020-11-14
14,2020-11-15
8,2020-11-16
4,2020-11-17
9,2020-11-18
12,2020-11-19
26,2020-11-20
43,2020-11-21
68,2020-11-22
73,2020-11-23
80,2020-11-24
85,2020-11-25
81,2020-11-26
92,2020-11-27
84,2020-11-28
115,2020-11-29
76,2020-11-30
82,2020-01-12
103,2020-02-12
90,2020-03-12
112,2020-04-12
101,2020-05-12
95,2020-06-12
78,2020-07-12
100,2020-08-12
104,2020-09-12
112,2020-10-12
86,2020-11-12
69,2020-12-12
95,2020-12-13
82,2020-12-14
98,2020-12-15
82,2020-12-16
96,2020-12-17
70,2020-12-18
109,2020-12-19
74,2020-12-20
85,2020-12-21
63,2020-12-22
53,2020-12-23
71,2020-12-24
57,2020-12-25
59,2020-12-26
70,2020-12-27
61,2020-12-28
53,2020-12-29
54,2020-12-30
68,2020-12-31
42,2021-01-01
35,2021-02-01
41,2021-03-01
53,2021-04-01
32,2021-05-01
25,2021-06-01
33,2021-07-01
45,2021-08-01
59,2021-09-01
31,2021-10-01
41,2021-11-01
60,2021-12-01
42,2021-01-13
29,2021-01-14
38,2021-01-15
50,2021-01-16
55,2021-01-17
107,2021-01-18
56,2021-01-19
77,2021-01-20
70,2021-01-21
61,2021-01-22
81,2021-01-23
76,2021-01-24
73,2021-01-25
64,2021-01-26
60,2021-01-27
39,2021-01-28
50,2021-01-29
28,2021-01-30
53,2021-01-31
34,2021-01-02
25,2021-02-02
19,2021-03-02
22,2021-04-02
37,2021-05-02
19,2021-06-02
27,2021-07-02
32,2021-08-02
26,2021-09-02
17,2021-10-02
21,2021-11-02
24,2021-12-02
12,2021-02-13
12,2021-02-14
9,2021-02-15
8,2021-02-16
16,2021-02-17
8,2021-02-18
13,2021-02-19
15,2021-02-20
20,2021-02-21
16,2021-02-22
12,2021-02-23
17,2021-02-24
13,2021-02-25
24,2021-02-26
33,2021-02-27
22,2021-02-28
14,2021-01-03
13,2021-02-03
14,2021-03-03
9,2021-04-03
11,2021-05-03
8,2021-06-03
16,2021-07-03
9,2021-08-03
21,2021-09-03
8,2021-10-03
22,2021-11-03
60,2021-12-03
47,2021-03-13
24,2021-03-14
30,2021-03-15
18,2021-03-16
11,2021-03-17
10,2021-03-18
13,2021-03-19
8,2021-03-20
8,2021-03-21
18,2021-03-22
12,2021-03-23
10,2021-03-24
9,2021-03-25
11,2021-03-26
6,2021-03-27
1,2021-03-28
8,2021-03-29
7,2021-03-30
6,2021-03-31
13,2021-01-04
19,2021-02-04
2,2021-03-04
7,2021-04-04
16,2021-05-04
7,2021-06-04
8,2021-07-04
10,2021-08-04
14,2021-09-04
5,2021-10-04
13,2021-11-04
13,2021-12-04
13,2021-04-13
5,2021-04-14
6,2021-04-15
17,2021-04-16
18,2021-04-17
30,2021-04-18
12,2021-04-19
8,2021-04-20
1,2021-04-21
14,2021-04-22
9,2021-04-23
3,2021-04-24
6,2021-04-25
4,2021-04-26
8,2021-04-27
7,2021-04-28
15,2021-04-29
4,2021-04-30
8,2021-01-05
2,2021-02-05
2,2021-03-05
4,2021-04-05
6,2021-05-05
2,2021-06-05
2,2021-07-05
4,2021-05-16
5,2021-08-05
1,2021-09-05
4,2021-10-05
1,2021-11-05
2,2021-12-05
3,2021-05-13
1,2021-05-14
3,2021-05-15
1,2021-05-17
1,2021-05-18
1,2021-05-19
1,2021-05-20
1,2021-05-21
1,2021-05-22
2,2021-05-23
1,2021-05-24
2,2021-05-25
1,2021-05-26
1,2021-05-29
4,2021-05-31
6,2021-01-06
1,2021-02-06
1,2021-03-06
1,2021-04-06
1,2021-05-06
7,2021-06-06
7,2021-07-06
3,2021-08-06
4,2021-09-06
2,2021-10-06
3,2021-12-06
1,2021-06-14
2,2021-06-15
1,2021-06-16
3,2021-06-18
1,2021-06-19
1,2021-06-20
3,2021-06-21
7,2021-06-22
2,2021-06-23
7,2021-06-24
4,2021-06-25
2,2021-06-26
6,2021-06-27
3,2021-06-28
1,2021-06-29
2,2021-06-30
4,2021-01-07
11,2021-02-07
1,2021-03-07
3,2021-04-07
1,2021-05-07
1,2021-06-07
1,2021-07-07
3,2021-08-07
1,2021-09-07
1,2021-10-07
1,2021-11-07
1,2021-07-13
3,2021-07-14
1,2021-07-16
2,2021-07-18
7,2021-07-20
5,2021-07-21
1,2021-07-22
2,2021-07-23
2,2021-07-24
3,2021-07-25
1,2021-07-27
1,2021-07-28
2,2021-07-29
2,2021-07-30
3,2021-01-08
3,2021-02-08
4,2021-03-08
2,2021-04-08
6,2021-05-08
2,2021-06-08
7,2021-07-08
2,2021-08-08
2,2021-09-08
4,2021-10-08
1,2021-11-08
5,2021-12-08
5,2021-08-13
2,2021-08-14
1,2021-08-15
3,2021-08-16
3,2021-08-17
3,2021-08-18
5,2021-08-19
2,2021-08-20
3,2021-08-21
5,2021-08-22
5,2021-08-23
7,2021-08-24
5,2021-08-25
3,2021-08-26
17,2021-08-27
6,2021-08-28
7,2021-08-29
3,2021-08-30
2,2021-08-31
1,2021-01-09
4,2021-03-09
1,2021-04-09
8,2021-05-09
2,2021-06-09
6,2021-07-09
2,2021-08-09
2,2021-09-09
5,2021-10-09
4,2021-11-09
3,2021-12-09
1,2021-09-13
2,2021-09-14
1,2021-09-15
3,2021-09-17
5,2021-09-18
3,2021-09-19
5,2021-09-20
1,2021-09-21
1,2021-09-22
2,2021-09-23
7,2021-09-24
9,2021-09-25
8,2021-09-26
3,2021-09-27
13,2021-09-28
5,2021-09-29
